character	costume_detai	costume_source
Michael	Janet Jackson's Boob	
Michael	Monica Lewinsky (twice)	
Michael	OJ Simpson	
Michael	Microcephalic Penis	
Michael	Two Headed Michael
1/12	
Dwight	Sith Lord	Star Wars
Kelly	Dorothy	The Wizard of Oz
Pam	Cat/ Kitten	
Jim	Three Hole Punch Jim (Attached three black dots to his shirt)/Two Hole Punch Jim (After one dot falls off)	
Phyllis	Cat	
Angela	Kitten	
Devon	Bum	
Kevin	Mr. Incredible	The Incredibles
Toby	Hugh Hefner	
Creed	Dracula	
Oscar	A Woman	
Stanley	Gill-Man	Creature
Creed	Joker	The Dark Knight
Dwight	Joker	The Dark Knight
Kevin	Joker	The Dark Knight
Kelly	Carrie Bradshaw	Sex and the City
Ryan	Gordon Gekko	Wall Street
Oscar	Uncle Sam	
Meredith	Cheerleader	
Phyllis	Raggedy Ann	
Andy	Cat	Broadway musical Cats
Angela	Kitten	
Jim	Dave (wearing a name tag that says ""Dave"")	
Jim	Facebook (wrote the word ""book"" across his face)	
Meredith	Hobo	
Dwight	Billy the puppet	Saw
Angela	A Black Widow	
Oscar	Sarah Palin	
Kevin	Paul Blart	Paul Blart Mall Cop
Kelly	Leeloo	The Fifth Element
Phyllis	Witch	
Erin	Princess Fiona	Shrek
Pam	Rosemary	Rosemary's Baby
Creed	Dracula	
Ryan	Edward Cullen	the Twilight Saga
Andy	Michael Jackson (Thriller costume)	
Michael	Dick in a Box	SNL skit
Darryl	Pumpkin	
Michael	MacGruber, then Darryl (Oscar's afro wig and a warehouse uniform) before changing back	
Dwight	The Scranton Strangler	
Jim	Popeye	
Pam	Olive Oyl	
Ryan	Justin Bieber	
Andy	Bill Compton	True Blood
Stanley	a Samurai warrior	
Kevin	Michael Moore	
Creed	a mummy	
Meredith	Sookie Stackhouse	
Kelly	Snooki, then Katy Perry	
Erin	a hideous monster	
Angela	a penguin, then a sexy nurse	
Toby	a hobo clown (possibly Emmet Kelley's Weary Willie)	
Oscar	a 70s pimp, then a ""rational consumer"" (but mistaken by Creed to be Edward James Olmos)	
Darryl	Dracula	
Phyllis	Supreme Court Justice Sonia Sotomayor	
Gabe	Lady Gaga	
Todd Packer	a pregnant nun	
Bob Vance	Dirty Harry	
Cece	Swee'Pea	Popeye
Andy	Construction Worker	
Jim	Chris Bosh	
Pam	Kangaroo	
Angela	Kitten (same costume as in Halloween and Employee Transfer)	
Phyllis	Burlesque dancer	
Stanley	Chef	
Darryl	Lebron James	
Creed	Osama Bin Laden	
Meredith	Kate Middleton	
Oscar	Anthony Weiner	
Kevin	Dwayne Wade	
Erin	Wendy	the restaurant logo for Wendy's
Ryan	Jesse Pinkman	Breaking Bad
Toby	Skeleton	
Kelly	Skeleton	
Gabe	Skeleton	
Dwight	Queen of Blades/ Kerrigan,	Starcraft
Andy	George Michael	
Meredith	Black Widow	The Avengers
Dwight	Pig and a Jack-o-lantern	
Erin	Puppy	
Oscar	Dinosaur/Electoral College	
Pam	Dr. Cinderella	
Jim	""One of the Men in Black Guys""	
Robert Lipton	Ronald Reagan	
Angela	Nancy Reagan	
Kevin	Charlie Brown	
Phyllis	a cheerleader	
Stanley	an Olympic Gold Medalist	
Nellie	Sexy Toby	
Creed	Himself (Shows up in a blood-stained shirt, unaware that it is Halloween)	
Darryl	a Cowboy (in a plaid shirt)	
