index	season	episode	episode_name	character	text	text_w_direction	setup	twss
53203	2	2	 Sexual Harassment	Michael	" I wish Todd Packer was here because he would love this. I wonder if anybody else would like to do this. Hey! Um... we have to watch, uh, Toby's video that he's showing us in order to brainwash us and I was wondering if anybody would like to join in? Going to be fun. Got my great pizza. Whataya say? Jim?"	" I wish Todd Packer was here because he would love this. I wonder if anybody else would like to do this. Hey! Um... we have to watch, uh, Toby's video that he's showing us in order to brainwash us and I was wondering if anybody would like to join in? Going to be fun. Got my great pizza. Whataya say? Jim?"		
53560	2	2	 Sexual Harassment	Jim	" No, thanks. I'm good."	" No, thanks. I'm good."		
53917	2	2	 Sexual Harassment	Michael	 That's what she said. Pam?	 That's what she said. Pam?	Jim	Michael
69625	2	2	 Sexual Harassment	Michael	" No, I didn't. Huh, what? [everyone looks up at blow-up doll]"	" No, I didn't. [to Jan] Huh, what? [everyone looks up at blow-up doll]"		
69982	2	2	 Sexual Harassment	Michael	" Attention, everyone! Hello! Ah, yes! I just want you to know that, uh, this is not my decision, but from here on out... we can no longer be friends. And when we talk about things here we must only discuss work-associated things. And, uh, you can consider this my retirement from comedy. And in the future, if I want to say something funny or witty or do an impression, I will no longer, ever, do any of those things."	" Attention, everyone! Hello! Ah, yes! I just want you to know that, uh, this is not my decision, but from here on out... we can no longer be friends. And when we talk about things here we must only discuss work-associated things. And, uh, you can consider this my retirement from comedy. And in the future, if I want to say something funny or witty or do an impression, I will no longer, ever, do any of those things."		
70339	2	2	 Sexual Harassment	Jim	 Does that include 'That's What She Said'?	 Does that include 'That's What She Said'?		
70696	2	2	 Sexual Harassment	Michael	 Mmmhmm. Yes.	 Mmmhmm. Yes.		
71053	2	2	 Sexual Harassment	Jim	" Wow! That is really hard. You really think you can go all day long? Well, you always left me satisfied and smiling, so..."	" Wow! That is really hard. You really think you can go all day long? Well, you always left me satisfied and smiling, so..."		
71410	2	2	 Sexual Harassment	Michael	 THAT'S WHAT SHE SAID!	 THAT'S WHAT SHE SAID!	Jim	Michael
6452	2	10	 Christmas Party	Kevin	" Well, sort of. Why did you get it so big?"	" [holds up the piece of tree he just cut off with a paper cutter] Well, sort of. Why did you get it so big?"		
6453	2	10	 Christmas Party	Kevin	 Mine.	 Mine.		
6809	2	10	 Christmas Party	Michael	" A, that's what she said, and B, I wanted it to be impressive. The biggest day of the year deserves the biggest tree of the year."	" A, that's what she said, and B, I wanted it to be impressive. The biggest day of the year deserves the biggest tree of the year."	Kevin	Michael
30732	2	12	 The Injury	Doctor	 Does the skin look red and swollen?	 Does the skin look red and swollen?		
31088	2	12	 The Injury	Michael	 Where is my cornbread?	 Where is my cornbread?		
31089	2	12	 The Injury	Dwight	 That's what she said.	 That's what she said.	Doctor	Dwight
10391	2	17	 Dwight's Speech	Pam	" Ok, cool."	" Ok, cool."		
10748	2	17	 Dwight's Speech	Pam	 I have a ton of stuff to do for the wedding. And I have to do it in the office. And that can be kind of awkward. Um... just because people can get all weird about wedding stuff. Then... I just... I don't want to offend... Angela... or someone.	 I have a ton of stuff to do for the wedding. And I have to do it in the office. And that can be kind of awkward. Um... just because people can get all weird about wedding stuff. Then... I just... I don't want to offend... Angela... or someone.		
11105	2	17	 Dwight's Speech	Michael	 That's what she said!	 That's what she said!	Pam	Michael
34673	2	21	 Conflict Resolution	Michael	" How many of you have at one time gone to Toby to complain about another employee? Okay, today we are going to get everything out of these files and into the open, where it can be resolved. Alright, how about the Phyllis/Angela dispute?"	" How many of you have at one time gone to Toby to complain about another employee? [looks at all the employees, most of whom raise their hands] And... did you get what you wanted, or were you merely listened to, you forget about your problem, and you move on? [employees mumble ""merely listen to and forgotten..."" ] That is outrageous! I love this place... and it pains me to see all of the negativity festering... [sighs] Okay, today we are going to get everything out of these files and into the open, where it can be resolved. Alright, how about the Phyllis/Angela dispute?"		
35030	2	21	 Conflict Resolution	Angela	 You already did me.	 You already did me.		
35387	2	21	 Conflict Resolution	Michael	" That's what she said. The thing is, Angela... you are in here an awful lot. You have complained about everybody in the office, except Dwight, which is odd because everyone else has had run ins with Dwight. Toby, by the way, what does ""redacted"" mean? There is a file full of complaints in here marked ""redacted""... ?"	" That's what she said. [Jim mouths these words along with Michael] The thing is, Angela... you are in here an awful lot. You have complained about everybody in the office, except Dwight, which is odd because everyone else has had run ins with Dwight. Toby, by the way, what does ""redacted"" mean? There is a file full of complaints in here marked ""redacted""... ?"	Angela	Michael
